"","Var1","Freq"
"387","광주광역시 광산구 평촌길",2
"388","광주광역시 광산구 풍영로",67
"389","광주광역시 광산구 풍영로101번길",13
"390","광주광역시 광산구 풍영로101번안길",47
"391","광주광역시 광산구 풍영로145번길",11
"392","광주광역시 광산구 풍영로169번길",6
"393","광주광역시 광산구 풍영로170번길",2
"394","광주광역시 광산구 풍영로199번길",3
"395","광주광역시 광산구 풍영로200번길",29
"396","광주광역시 광산구 풍영로228번길",6
"397","광주광역시 광산구 풍영로229번길",6
"398","광주광역시 광산구 풍영로229번안길",2
"399","광주광역시 광산구 풍영로230번길",1
"400","광주광역시 광산구 풍영로329번길",7
"401","광주광역시 광산구 풍영로330번길",3
"402","광주광역시 광산구 풍영정길",17
"403","광주광역시 광산구 풍영철길로",48
"404","광주광역시 광산구 하남대로",47
"405","광주광역시 광산구 하남대로261번길",13
"406","광주광역시 광산구 하남대로54번길",6
"407","광주광역시 광산구 하남대로54번안길",62
"408","광주광역시 광산구 하남대로76번길",1
"409","광주광역시 광산구 하남산단10번로",1
"410","광주광역시 광산구 하남산단2번로",1
"411","광주광역시 광산구 하남산단3번로",4
"412","광주광역시 광산구 하남산단4번로",2
"413","광주광역시 광산구 하남산단5번로",1
"414","광주광역시 광산구 하남산단6번로",3
"415","광주광역시 광산구 하남산단8번로",4
"416","광주광역시 광산구 하남산단9번로",1
"417","광주광역시 광산구 하남지실길",8
"418","광주광역시 광산구 하남지실안길",1
"419","광주광역시 광산구 하림길",1
"420","광주광역시 광산구 하완길",2
"421","광주광역시 남구 경열로",1
"422","광주광역시 남구 경열로66번길",1
"423","광주광역시 남구 경열로76번길",8
"424","광주광역시 남구 경열로76번안길",1
"425","광주광역시 남구 경열로96번길",1
"426","광주광역시 남구 고싸움로",11
"427","광주광역시 남구 고싸움로152번길",2
"428","광주광역시 남구 광복마을1길",4
"429","광주광역시 남구 광복마을2길",1
"430","광주광역시 남구 광복마을3길",12
"431","광주광역시 남구 광복마을4길",8
"432","광주광역시 남구 광복마을5길",10
"433","광주광역시 남구 광복마을6길",6
"434","광주광역시 남구 광복마을7길",10
"435","광주광역시 남구 광복마을8길",3
"436","광주광역시 남구 광복마을길",40
"437","광주광역시 남구 구만산길",1
"438","광주광역시 남구 구성로",14
"439","광주광역시 남구 구성로20번길",1
"440","광주광역시 남구 구성로26번안길",1
"441","광주광역시 남구 구성로76번안길",1
"442","광주광역시 남구 구성로78번길",1
"443","광주광역시 남구 군분로",130
"444","광주광역시 남구 군분로104번길",1
"445","광주광역시 남구 군분로109번길",1
"446","광주광역시 남구 군분로120번길",1
"447","광주광역시 남구 군분로139번길",1
"448","광주광역시 남구 군분로140번길",2
"449","광주광역시 남구 군분로147번길",7
"450","광주광역시 남구 군분로148번길",6
"451","광주광역시 남구 군분로159번길",2
"452","광주광역시 남구 군분로160번길",2
"453","광주광역시 남구 군분로169번길",1
"454","광주광역시 남구 군분로23번길",11
"455","광주광역시 남구 군분로24번길",1
"456","광주광역시 남구 군분로33번길",15
"457","광주광역시 남구 군분로34번길",1
"458","광주광역시 남구 군분로42번길",9
"459","광주광역시 남구 군분로48번길",3
"460","광주광역시 남구 군분로52번길",2
"461","광주광역시 남구 군분로55번길",2
"462","광주광역시 남구 군분로5번길",1
"463","광주광역시 남구 군분로62번길",2
"464","광주광역시 남구 군분로65번길",2
"465","광주광역시 남구 군분로77번길",3
"466","광주광역시 남구 군분로81번길",1
"467","광주광역시 남구 군분로86번길",1
"468","광주광역시 남구 군분로90번길",5
"469","광주광역시 남구 군분로99번길",3
"470","광주광역시 남구 금당로",27
"471","광주광역시 남구 금당로1번길",3
"472","광주광역시 남구 금당로2길",3
"473","광주광역시 남구 금당로3길",1
"474","광주광역시 남구 금화로",19
"475","광주광역시 남구 금화로374번길",1
"476","광주광역시 남구 금화로376번길",1
"477","광주광역시 남구 금화로394번길",2
"478","광주광역시 남구 금화로421번길",3
"479","광주광역시 남구 금화로422번길",10
"480","광주광역시 남구 금화로440번길",4
"481","광주광역시 남구 금화로441번길",2
"482","광주광역시 남구 금화로446번길",2
"483","광주광역시 남구 금화로446번나길",1
"484","광주광역시 남구 금화로456번길",1
"485","광주광역시 남구 금화로470번길",2
"486","광주광역시 남구 김치로",10
"487","광주광역시 남구 노대실로",4
"488","광주광역시 남구 노대실로34번길",1
"489","광주광역시 남구 대남대로",49
"490","광주광역시 남구 대남대로107번길",13
"491","광주광역시 남구 대남대로117번길",2
"492","광주광역시 남구 대남대로127번길",4
"493","광주광역시 남구 대남대로139번길",5
"494","광주광역시 남구 대남대로149번길",11
"495","광주광역시 남구 대남대로159번길",20
"496","광주광역시 남구 대남대로171번길",10
"497","광주광역시 남구 대남대로181번길",8
"498","광주광역시 남구 대남대로193번길",13
"499","광주광역시 남구 대남대로203번길",13
"500","광주광역시 남구 대남대로223번길",3
"501","광주광역시 남구 대남대로237번길",3
"502","광주광역시 남구 대남대로247번안길",3
"503","광주광역시 남구 대남대로273번길",1
"504","광주광역시 남구 대남대로283번길",3
"505","광주광역시 남구 대남대로294번길",2
"506","광주광역시 남구 대남대로317번길",1
"507","광주광역시 남구 대남대로339번길",1
"508","광주광역시 남구 대남대로340번길",7
"509","광주광역시 남구 대남대로350번길",1
"510","광주광역시 남구 대남대로372번길",5
"511","광주광역시 남구 대남대로379번길",3
"512","광주광역시 남구 대남대로389번길",1
"513","광주광역시 남구 덕남길",5
"514","광주광역시 남구 덕림길",2
"515","광주광역시 남구 덕림남길",5
"516","광주광역시 남구 덕림중앙길",3
"517","광주광역시 남구 독립로",56
"518","광주광역시 남구 독립로10번길",10
"519","광주광역시 남구 독립로112번길",1
"520","광주광역시 남구 독립로15번길",3
"521","광주광역시 남구 독립로54번길",4
